Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
148,Giovane fuoriclasse,Capo Plaza,296865,https://open.spotify.com/track/60muwbD6E61lEYQSnEYlLc,2018,12,7GFCOl2gVEv9d6gwdY5Fvb
149,Modalità Aereo (feat. Luchè & Marracash),Guè Pequeno,296623,https://open.spotify.com/track/5CBTNoJlHwyqYGdwMBNAAH,2018,12,5CBTNoJlHwyqYGdwMBNAAH
150,Gli occhi della tigre,Nayt,296089,https://open.spotify.com/track/0eczHniJguffShMNltOqMo,2018,12,5pL8J6weoydzXglhsoJ6Vw
151,Questa nostra stupida canzone d'amore,Thegiornalisti,296082,https://open.spotify.com/track/1Kw6V4wiZKTVwLZ5YcYJR3,2018,12,1Kw6V4wiZKTVwLZ5YcYJR3
152,Don't Stop Me Now - Remastered 2011,Queen,289174,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2018,12,7hQJA50XrCWABAu5v6QZ4i
153,Someday At Christmas,Stevie Wonder,289169,https://open.spotify.com/track/7ziHNBvbvVCSLeqdKDLQR4,2018,12,1yi2B0Ca0Xrob1O4R1uW6Z
154,Step Into Christmas,Elton John,289081,https://open.spotify.com/track/11P4sSu6BH2lAbWk1sL6cK,2018,12,6sBWmE23q6xQHlnEZ8jYPT
155,Figurati noi (feat. Emma Muscat),Shade,286750,https://open.spotify.com/track/5AQ7Wuc1UGCROIifaInqdV,2018,12,5AQ7Wuc1UGCROIifaInqdV
156,Torna Da Me,Luche,286223,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4,2018,12,3cht84Looy1rM6dDSqfuX8
157,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,284905,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,2018,12,2uFaJJtFpPDc5Pa95XzTvg
158,Adan y Eva,Paulo Londra,281860,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2018,12,6FyRXC8tJUh863JCkyWqtk
159,Youngblood,5 Seconds of Summer,281804,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018,12,2iUXsYOEPhVqEBwsqP70rE
160,Ipernova,Mr.Rain,279153,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw,2018,12,2Hg2uP2Udt0PIEZiPbfV26
161,Do They Know It's Christmas? - 2004 Version,Band Aid 20,279051,https://open.spotify.com/track/042Yt1xKxDHPBmGokgf1jl,2018,12,6HlqioVbMHWnPOmm5Wf7NN
162,Irraggiungibile (feat. Federica Carta),Shade,278690,https://open.spotify.com/track/6ht4SwYqBMA8aE40QdJzoN,2018,12,03PDOt4cRKQgpYfA9I9wnC
163,Under Pressure - Remastered 2011,Queen,277183,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2018,12,11IzgLRXV7Cgek3tEgGgjw
164,Natural,Imagine Dragons,276496,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2018,12,2FY7b99s15jUprqC0M5NCT
